frame,bowling_arm_elbow_angle,bowling_arm_shoulder_angle,front_leg_brace_angle,bowling_arm_wrist_x,bowling_arm_wrist_y,bowling_arm_wrist_z,bowling_arm_shoulder_x,bowling_arm_shoulder_y,bowling_arm_shoulder_z,nose_y,bowling_arm_wrist_y_2d,bowling_arm_vertical_angle,bowling_arm_horizontal_angle_from_plane
0,127.79047805599829,161.14780412030973,148.90088124862856,-0.31065428256988525,-0.7484415173530579,0.16673509776592255,-0.19074983894824982,-0.4664154350757599,-0.033168718218803406,0.18716365098953247,0.17886409163475037,39.57516556088868,50.42483443911132
1,100.83182404783965,124.09980437629015,142.39667125456032,-0.2133176177740097,-0.7442023158073425,-0.06017257645726204,-0.19093410670757294,-0.46567779779434204,-0.05393168702721596,0.18549038469791412,0.16501891613006592,4.769133831425023,85.23086616857495
2,100.58921540507558,123.27942205076336,138.9849181329571,-0.20101995766162872,-0.7432973980903625,-0.06703024357557297,-0.19481800496578217,-0.46314898133277893,-0.05351204052567482,0.1836513727903366,0.15774311125278473,3.0389630319921537,86.96103696800787
3,97.17523994083638,125.3988844488938,137.41082105745448,-0.20965811610221863,-0.7337874174118042,-0.024066360667347908,-0.1953689604997635,-0.46076294779777527,-0.052900221198797226,0.18002299964427948,0.15986144542694092,6.722208471518968,83.27779152848095
4,95.57030334104905,124.43130330328188,136.70601003579924,-0.2201443463563919,-0.7264333367347717,-0.035136740654706955,-0.19927723705768585,-0.4593595862388611,-0.05379640683531761,0.1797720342874527,0.161786288022995,5.983580489687284,84.01641951031274
5,99.54669911330691,118.0210789519132,138.82221039669628,-0.22592109441757202,-0.710717499256134,-0.1465766429901123,-0.2028506100177765,-0.4594149589538574,-0.06617148220539093,0.1801159381866455,0.16665643453598022,18.410727453693568,71.58927254630645
6,103.2182351599558,109.36087045500975,138.06560269940636,-0.20114107429981232,-0.6807630062103271,-0.18982088565826416,-0.20701609551906586,-0.4553517997264862,-0.06674899160861969,0.18013182282447815,0.16994276642799377,28.66146145910642,61.33853854089357
7,104.54904697149625,108.15268330841629,137.93716009807164,-0.2022773027420044,-0.6760941743850708,-0.2026047706604004,-0.21037964522838593,-0.45234787464141846,-0.06518904864788055,0.18003106117248535,0.1709631383419037,31.600880337767933,58.399119662232074
8,102.04865034942794,109.13812133460776,138.5062764269099,-0.20646096765995026,-0.6806765794754028,-0.1887906789779663,-0.21269769966602325,-0.45117512345314026,-0.06487631797790527,0.18015433847904205,0.17140261828899384,28.396182259518753,61.60381774048126
9,94.40756584081825,110.37234134743815,137.85338185443774,-0.21102266013622284,-0.6846096515655518,-0.14346686005592346,-0.21368896961212158,-0.44924089312553406,-0.07513716071844101,0.1809300184249878,0.17194271087646484,16.200169559368135,73.79983044063187
